time,[OPT-101] Ox Fill,[NPT-201] N2 Fill,[FPT-301] Fuel Tank,[OPT-102] Ox Tank,[CCPT-101] Combustion Chamber PT1 (psi),[Load Cell] Tank Mass - Flintec (kg),[Load Cell] Thrust - CAS BSA-5KLB (kg),[INJ-302] FUEL Valve Hall Sensor (mV),[INJ-301] OX Valve Hall Sensor (mV)
2930.1687829494476,594.5528966337745,148.0099364192842,360.108851327777,359.9539044032549,137.7481278757484,35.77402958752711,306.1498535230527,4665.343881080091,5.2566793193394235
2930.1962060928345,599.2382939031658,148.50313600694778,357.8323234390082,358.8096809610072,128.53474797725906,36.40859740103091,271.8755529467895,4665.488554955982,6.729701637591977
2930.2181141376495,600.4219732159421,145.88917819448935,357.343644680479,358.8931139211006,117.45008665775616,36.483978024032865,210.78509415254194,4667.8559456646,6.295686133044267
2930.2401101589203,595.1940562607593,147.46741687358525,356.2113402366041,355.43660561882757,113.33803489547948,36.04402928274528,278.80333746837687,4665.646381002596,5.085703514618731
2930.261538743973,596.5996754449316,146.28373786538992,354.37581514230624,355.86568940654485,108.6657906117553,36.07692264341634,246.71675989689243,4667.895402176523,5.204071379483056
2930.2945470809937,597.6107348492893,144.82879908091493,351.8370694020878,353.99440732947164,108.36781584742468,36.651185966381234,224.5577965004373,4668.474097686547,5.874822613388634
2930.3146233558655,598.054614591563,144.36025947434234,349.4890275760536,351.56293253881034,105.50725813827488,31.64591298626176,214.82907208079774,4668.474097686817,6.032646433204041
2930.3446276187897,594.8488164637362,164.03892350136903,348.7738879362886,348.5474270522726,110.70393818152247,37.41047593855236,228.3697441494264,4666.8300763574825,5.624934898854165
2930.3665544986725,597.413454964907,152.89261234838034,346.05635730809377,347.0694717951408,103.69557158857432,27.904293915145946,130.76753839853072,4667.737576130327,8.926083132599626
2930.388487100601,604.466210860878,149.83477493259932,343.92285739459027,346.19938523488435,97.45002064031833,27.38211054318811,165.50589863521273,4671.025618832576,33.42823177816766
2930.4200530052185,599.4109138034017,148.108576341294,343.8155864473129,344.7571869674206,88.62996780230553,40.913618559583355,133.60164140839936,4674.024313828805,394.9242777512804
